split,condition,L,sample_id,base_wer,lca_wer,delta_wer,utt_words,utt_len_bin,original_whisper_wer,ground_truth,original_whisper
perturbed,substitution-high,3,1089-134691-0024,3.0,4.5,1.5,2,"[0,10)",1.5,STEPHANOS DEDALOS,Stefanos dead loss
perturbed,substitution-high,1,1089-134691-0024,1.5,2.5,1.0,2,"[0,10)",1.5,STEPHANOS DEDALOS,Stefanos dead loss
perturbed,dropout-high,2,1089-134691-0024,1.5,2.5,1.0,2,"[0,10)",1.5,STEPHANOS DEDALOS,Stefanos dead loss
perturbed,dropout-high,1,1089-134686-0007,0.25,0.875,0.625,8,"[0,10)",0.125,A COLD LUCID INDIFFERENCE REIGNED IN HIS SOUL,"A cold, lucid indifference rained in his soul."
perturbed,substitution-high,1,1089-134686-0007,0.375,1.0,0.625,8,"[0,10)",0.125,A COLD LUCID INDIFFERENCE REIGNED IN HIS SOUL,"A cold, lucid indifference rained in his soul."
perturbed,dropout-high,1,1089-134686-0003,0.4285714285714285,1.0,0.5714285714285715,7,"[0,10)",0.0,HELLO BERTIE ANY GOOD IN YOUR MIND,"Hello Bertie, any good in your mind?"
perturbed,dropout-high,2,1089-134686-0003,0.0,0.5714285714285714,0.5714285714285714,7,"[0,10)",0.0,HELLO BERTIE ANY GOOD IN YOUR MIND,"Hello Bertie, any good in your mind?"
perturbed,substitution-high,1,1089-134686-0003,0.2857142857142857,0.8571428571428571,0.5714285714285714,7,"[0,10)",0.0,HELLO BERTIE ANY GOOD IN YOUR MIND,"Hello Bertie, any good in your mind?"
perturbed,dropout-high,3,1089-134691-0024,1.0,1.5,0.5,2,"[0,10)",1.5,STEPHANOS DEDALOS,Stefanos dead loss
perturbed,substitution-high,3,1188-133604-0030,0.0,0.5,0.5,4,"[0,10)",0.0,HE KNOWS THEM BOTH,He knows them both.
perturbed,dropout-high,1,1089-134686-0029,0.0,0.4545454545454545,0.4545454545454545,11,"[10,20)",0.0,ON FRIDAY CONFESSION WILL BE HEARD ALL THE AFTERNOON AFTER BEADS,"On Friday, confession will be heard all the afternoon after beads."
perturbed,substitution-high,1,1089-134691-0004,0.2222222222222222,0.6666666666666666,0.4444444444444444,9,"[0,10)",0.0,PRIDE AFTER SATISFACTION UPLIFTED HIM LIKE LONG SLOW WAVES,"Pride after satisfaction uplifted him like long, slow waves."
perturbed,dropout-high,1,1089-134691-0004,0.2222222222222222,0.6666666666666666,0.4444444444444444,9,"[0,10)",0.0,PRIDE AFTER SATISFACTION UPLIFTED HIM LIKE LONG SLOW WAVES,"Pride after satisfaction uplifted him like long, slow waves."
perturbed,substitution-high,2,1089-134686-0003,0.0,0.4285714285714285,0.4285714285714285,7,"[0,10)",0.0,HELLO BERTIE ANY GOOD IN YOUR MIND,"Hello Bertie, any good in your mind?"
perturbed,substitution-high,2,1188-133604-0017,0.0666666666666666,0.4666666666666667,0.4000000000000001,15,"[10,20)",0.0,THAT A STYLE IS RESTRAINED OR SEVERE DOES NOT MEAN THAT IT IS ALSO ERRONEOUS,That a style is restrained or severe does not mean that it is also erroneous.
perturbed,dropout-high,1,1188-133604-0033,0.2,0.6,0.39999999999999997,15,"[10,20)",0.0,EVERY PLANT IN THE GRASS IS SET FORMALLY GROWS PERFECTLY AND MAY BE REALIZED COMPLETELY,"Every plant in the grass is set formally, grows perfectly, and may be realized completely."
perturbed,dropout-high,2,1188-133604-0031,0.3,0.7,0.39999999999999997,10,"[10,20)",0.0,THERE'S ONE AND THERE'S ANOTHER THE DUDLEY AND THE FLINT,There's one and there's another the Dudley and the Flint
