split,condition,L,sample_id,base_wer,lca_wer,delta_wer,utt_words,utt_len_bin,original_whisper_wer,ground_truth,original_whisper
clean,clean,2,1089-134691-0024,1.0,2.0,1.0,2,"[0,10)",1.5,STEPHANOS DEDALOS,Stefanos dead loss
clean,clean,2,121-127105-0004,0.0,0.6666666666666666,0.6666666666666666,3,"[0,10)",0.0,THE STORY'S WRITTEN,The story's written.
clean,clean,2,121-121726-0002,0.2,0.8,0.6000000000000001,5,"[0,10)",0.2,ANGOR PAIN PAINFUL TO HEAR,"anger, pain, painful to hear."
clean,clean,1,1089-134686-0003,0.2857142857142857,0.8571428571428571,0.5714285714285714,7,"[0,10)",0.0,HELLO BERTIE ANY GOOD IN YOUR MIND,"Hello Bertie, any good in your mind?"
clean,clean,1,1089-134691-0004,0.1111111111111111,0.6666666666666666,0.5555555555555556,9,"[0,10)",0.0,PRIDE AFTER SATISFACTION UPLIFTED HIM LIKE LONG SLOW WAVES,"Pride after satisfaction uplifted him like long, slow waves."
clean,clean,1,121-127105-0019,0.2727272727272727,0.8181818181818182,0.5454545454545455,11,"[10,20)",0.09090909090909091,MISSUS GRIFFIN HOWEVER EXPRESSED THE NEED FOR A LITTLE MORE LIGHT,"Mrs. Griffin, however, expressed the need for a little more light."
clean,clean,1,121-123852-0001,1.0,1.5,0.5,2,"[0,10)",0.5,AY ME,I'm me.
clean,clean,1,121-121726-0004,0.5,1.0,0.5,8,"[0,10)",0.0,HEAVEN A GOOD PLACE TO BE RAISED TO,Heaven. A good place to be raised to.
clean,clean,1,1089-134686-0007,0.375,0.875,0.5,8,"[0,10)",0.125,A COLD LUCID INDIFFERENCE REIGNED IN HIS SOUL,"A cold, lucid indifference rained in his soul."
clean,clean,1,1284-1180-0015,0.1176470588235294,0.5882352941176471,0.4705882352941177,17,"[10,20)",0.17647058823529413,WE ARE TRAVELING REPLIED OJO AND WE STOPPED AT YOUR HOUSE JUST TO REST AND REFRESH OURSELVES,"We're traveling,"" replied Ojo, and we stop at your house just to rest and refresh ourselves."
clean,clean,2,1089-134686-0003,0.0,0.4285714285714285,0.4285714285714285,7,"[0,10)",0.0,HELLO BERTIE ANY GOOD IN YOUR MIND,"Hello Bertie, any good in your mind?"
clean,clean,1,1284-1181-0020,0.5263157894736842,0.9473684210526316,0.42105263157894746,19,"[10,20)",0.10526315789473684,DEAR ME WHAT A CHATTERBOX YOU'RE GETTING TO BE UNC REMARKED THE MAGICIAN WHO WAS PLEASED WITH THE COMPLIMENT,"Dear me, what a chatterbox you're getting to be on. Remark the magician, who was pleased with the compliment."
clean,clean,1,1188-133604-0042,0.4,0.8,0.4,5,"[0,10)",0.0,THE SCENE IS ABSOLUTELY ARCADIAN,The scene is absolutely Arcadian.
clean,clean,1,1284-1180-0020,0.0,0.4,0.4,20,"[20,40)",0.0,THE FIRST LOT WE TESTED ON OUR GLASS CAT WHICH NOT ONLY BEGAN TO LIVE BUT HAS LIVED EVER SINCE,"The first lot we tested on our glass cat, which not only began to live but has lived ever since."
clean,clean,2,1284-1181-0019,0.0,0.4,0.4,10,"[10,20)",0.0,I NOW USE THEM AS ORNAMENTAL STATUARY IN MY GARDEN,I now use them as ornamental statuary in my garden.
clean,clean,2,121-127105-0010,0.2,0.6,0.39999999999999997,10,"[10,20)",0.0,SHE SENT ME THE PAGES IN QUESTION BEFORE SHE DIED,She sent me the pages in question before she died.
clean,clean,1,121-121726-0002,1.0,1.4,0.3999999999999999,5,"[0,10)",0.2,ANGOR PAIN PAINFUL TO HEAR,"anger, pain, painful to hear."
clean,clean,3,121-121726-0001,0.125,0.5,0.375,8,"[0,10)",0.125,HARANGUE THE TIRESOME PRODUCT OF A TIRELESS TONGUE,Hoorang! The tiresome product of a tireless tongue.
clean,clean,1,121-127105-0016,0.6666666666666666,1.0,0.33333333333333337,6,"[0,10)",0.0,PROBABLY NOT TILL THE SECOND POST,Probably not till the second post.
clean,clean,1,1320-122612-0002,0.0,0.3333333333333333,0.3333333333333333,18,"[10,20)",0.0,AFTER PROCEEDING A FEW MILES THE PROGRESS OF HAWKEYE WHO LED THE ADVANCE BECAME MORE DELIBERATE AND WATCHFUL,"After proceeding a few miles, the progress of Hawkeye, who led the advance, became more deliberate and watchful."
clean,clean,2,1284-1181-0018,0.3333333333333333,0.6666666666666666,0.3333333333333333,6,"[0,10)",0.16666666666666666,IT TRULY IS ASSERTED THE MAGICIAN,It truly is asserted that magician...
clean,clean,2,121-127105-0032,0.0,0.3333333333333333,0.3333333333333333,9,"[0,10)",0.0,YES BUT THAT'S JUST THE BEAUTY OF HER PASSION,"Yes, but that's just the beauty of her passion."
clean,clean,3,121-127105-0014,0.0,0.3333333333333333,0.3333333333333333,3,"[0,10)",0.0,YOU ARE ACUTE,You are acute.
clean,clean,2,121-127105-0014,0.0,0.3333333333333333,0.3333333333333333,3,"[0,10)",0.0,YOU ARE ACUTE,You are acute.
clean,clean,1,1089-134691-0020,1.1666666666666667,1.5,0.33333333333333326,6,"[0,10)",0.3333333333333333,HELLO STEPHANOS HERE COMES THE DEDALUS,"Hello, Stefanos. Here comes the Daedalus."
clean,clean,1,1284-1180-0024,0.125,0.4375,0.3125,16,"[10,20)",0.0625,THAT IS ONE REASON YOU ARE OJO THE UNLUCKY SAID THE WOMAN IN A SYMPATHETIC TONE,"That is one reason you are Ojo the unlucky,"" said the woman in sympathetic tone."
clean,clean,3,121-127105-0006,0.3846153846153846,0.6923076923076923,0.3076923076923077,13,"[10,20)",0.23076923076923078,THE OTHERS RESENTED POSTPONEMENT BUT IT WAS JUST HIS SCRUPLES THAT CHARMED ME,"The others resented for Sponement, but it was just his groupals that charmed me."
clean,clean,1,121-127105-0010,0.3,0.6,0.3,10,"[10,20)",0.0,SHE SENT ME THE PAGES IN QUESTION BEFORE SHE DIED,She sent me the pages in question before she died.
clean,clean,2,121-121726-0008,0.1428571428571428,0.4285714285714285,0.2857142857142857,7,"[0,10)",0.0,HOSE MAN'S EXCUSE FOR WETTING THE WALK,Hose. Man's excuse for wetting the walk.
clean,clean,1,121-121726-0009,0.0,0.2857142857142857,0.2857142857142857,14,"[10,20)",0.0,HOTEL A PLACE WHERE A GUEST OFTEN GIVES UP GOOD DOLLARS FOR POOR QUARTERS,Hotel. A place where a guest often gives up good dollars for poor quarters.
clean,clean,1,121-127105-0009,0.1428571428571428,0.4285714285714285,0.2857142857142857,7,"[0,10)",0.14285714285714285,SHE HAS BEEN DEAD THESE TWENTY YEARS,She has been dead these 20 years.
clean,clean,2,121-121726-0003,0.1428571428571428,0.4285714285714285,0.2857142857142857,14,"[10,20)",0.07142857142857142,HAY FEVER A HEART TROUBLE CAUSED BY FALLING IN LOVE WITH A GRASS WIDOW,"Hey, fever. A heart trouble caused by falling in love with a grass widow."
clean,clean,1,1284-134647-0000,0.0952380952380952,0.3809523809523809,0.2857142857142857,21,"[20,40)",0.0,THE GRATEFUL APPLAUSE OF THE CLERGY HAS CONSECRATED THE MEMORY OF A PRINCE WHO INDULGED THEIR PASSIONS AND PROMOTED THEIR INTEREST,The grateful applause of the clergy has consecrated the memory of a prince who indulged their passions and promoted their interest.
clean,clean,1,1284-1180-0032,0.2272727272727272,0.5,0.2727272727272728,22,"[20,40)",0.0,I WILL SHOW YOU WHAT A GOOD JOB I DID AND SHE WENT TO A TALL CUPBOARD AND THREW OPEN THE DOORS,I will show you what a good job I did. And she went to a tall cupboard and threw open the doors.
clean,clean,2,1284-1180-0022,0.0909090909090909,0.3636363636363636,0.2727272727272727,11,"[10,20)",0.0,I'M AFRAID I DON'T KNOW MUCH ABOUT THE LAND OF OZ,I'm afraid I don't know much about the land of Oz.
clean,clean,1,1089-134686-0029,0.0,0.2727272727272727,0.2727272727272727,11,"[10,20)",0.0,ON FRIDAY CONFESSION WILL BE HEARD ALL THE AFTERNOON AFTER BEADS,"On Friday, confession will be heard all the afternoon after beads."
clean,clean,2,1221-135766-0014,0.0909090909090909,0.3636363636363636,0.2727272727272727,11,"[10,20)",0.0,PEARL SAW AND GAZED INTENTLY BUT NEVER SOUGHT TO MAKE ACQUAINTANCE,"Pearl saw and gazed intently, but never sought to make acquaintance."
clean,clean,1,1221-135766-0014,0.1818181818181818,0.4545454545454545,0.2727272727272727,11,"[10,20)",0.0,PEARL SAW AND GAZED INTENTLY BUT NEVER SOUGHT TO MAKE ACQUAINTANCE,"Pearl saw and gazed intently, but never sought to make acquaintance."
