split,condition,L,sample_id,base_wer,lca_wer,delta_wer,utt_words,utt_len_bin,original_whisper_wer,ground_truth,original_whisper
clean,clean,1,1089-134686-0000,0.1785714285714285,0.1785714285714285,0.0,28,"[20,40)",0.03571428571428571,HE HOPED THERE WOULD BE STEW FOR DINNER TURNIPS AND CARROTS AND BRUISED POTATOES AND FAT MUTTON PIECES TO BE LADLED OUT IN THICK PEPPERED FLOUR FATTENED SAUCE,"He hoped there would be stew for dinner, turnips and carrots and bruised potatoes and fat mutton pieces to be ladled out in thick, peppered, flour-faten sauce."
clean,clean,2,1089-134686-0000,0.0714285714285714,0.0714285714285714,0.0,28,"[20,40)",0.03571428571428571,HE HOPED THERE WOULD BE STEW FOR DINNER TURNIPS AND CARROTS AND BRUISED POTATOES AND FAT MUTTON PIECES TO BE LADLED OUT IN THICK PEPPERED FLOUR FATTENED SAUCE,"He hoped there would be stew for dinner, turnips and carrots and bruised potatoes and fat mutton pieces to be ladled out in thick, peppered, flour-faten sauce."
clean,clean,3,1089-134686-0000,0.0714285714285714,0.0714285714285714,0.0,28,"[20,40)",0.03571428571428571,HE HOPED THERE WOULD BE STEW FOR DINNER TURNIPS AND CARROTS AND BRUISED POTATOES AND FAT MUTTON PIECES TO BE LADLED OUT IN THICK PEPPERED FLOUR FATTENED SAUCE,"He hoped there would be stew for dinner, turnips and carrots and bruised potatoes and fat mutton pieces to be ladled out in thick, peppered, flour-faten sauce."
clean,clean,1,1089-134686-0001,0.375,0.5,0.125,8,"[0,10)",0.375,STUFF IT INTO YOU HIS BELLY COUNSELLED HIM,"Stuffered into you, his belly counseled him."
clean,clean,2,1089-134686-0001,0.125,0.125,0.0,8,"[0,10)",0.375,STUFF IT INTO YOU HIS BELLY COUNSELLED HIM,"Stuffered into you, his belly counseled him."
clean,clean,3,1089-134686-0001,0.125,0.125,0.0,8,"[0,10)",0.375,STUFF IT INTO YOU HIS BELLY COUNSELLED HIM,"Stuffered into you, his belly counseled him."
clean,clean,1,1089-134686-0002,0.0555555555555555,0.1666666666666666,0.1111111111111111,18,"[10,20)",0.0,AFTER EARLY NIGHTFALL THE YELLOW LAMPS WOULD LIGHT UP HERE AND THERE THE SQUALID QUARTER OF THE BROTHELS,After early nightfall the yellow lamps would light up here and there the squalid quarter of the brothels.
clean,clean,2,1089-134686-0002,0.1111111111111111,0.0,-0.1111111111111111,18,"[10,20)",0.0,AFTER EARLY NIGHTFALL THE YELLOW LAMPS WOULD LIGHT UP HERE AND THERE THE SQUALID QUARTER OF THE BROTHELS,After early nightfall the yellow lamps would light up here and there the squalid quarter of the brothels.
clean,clean,3,1089-134686-0002,0.0,0.0,0.0,18,"[10,20)",0.0,AFTER EARLY NIGHTFALL THE YELLOW LAMPS WOULD LIGHT UP HERE AND THERE THE SQUALID QUARTER OF THE BROTHELS,After early nightfall the yellow lamps would light up here and there the squalid quarter of the brothels.
clean,clean,1,1089-134686-0003,0.2857142857142857,0.8571428571428571,0.5714285714285714,7,"[0,10)",0.0,HELLO BERTIE ANY GOOD IN YOUR MIND,"Hello Bertie, any good in your mind?"
clean,clean,2,1089-134686-0003,0.0,0.4285714285714285,0.4285714285714285,7,"[0,10)",0.0,HELLO BERTIE ANY GOOD IN YOUR MIND,"Hello Bertie, any good in your mind?"
clean,clean,3,1089-134686-0003,0.1428571428571428,0.1428571428571428,0.0,7,"[0,10)",0.0,HELLO BERTIE ANY GOOD IN YOUR MIND,"Hello Bertie, any good in your mind?"
clean,clean,1,1089-134686-0004,0.9090909090909092,0.2727272727272727,-0.6363636363636365,11,"[10,20)",0.09090909090909091,NUMBER TEN FRESH NELLY IS WAITING ON YOU GOOD NIGHT HUSBAND,"Number 10, fresh Nelly is waiting on you. Good night, husband."
clean,clean,2,1089-134686-0004,0.0909090909090909,0.1818181818181818,0.0909090909090909,11,"[10,20)",0.09090909090909091,NUMBER TEN FRESH NELLY IS WAITING ON YOU GOOD NIGHT HUSBAND,"Number 10, fresh Nelly is waiting on you. Good night, husband."
clean,clean,3,1089-134686-0004,0.0909090909090909,0.0909090909090909,0.0,11,"[10,20)",0.09090909090909091,NUMBER TEN FRESH NELLY IS WAITING ON YOU GOOD NIGHT HUSBAND,"Number 10, fresh Nelly is waiting on you. Good night, husband."
clean,clean,1,1089-134686-0005,0.0454545454545454,0.1363636363636363,0.0909090909090909,22,"[20,40)",0.0,THE MUSIC CAME NEARER AND HE RECALLED THE WORDS THE WORDS OF SHELLEY'S FRAGMENT UPON THE MOON WANDERING COMPANIONLESS PALE FOR WEARINESS,"The music came nearer and he recalled the words, the words of Shelley's fragment upon the moon wandering companionless pale for weariness."
clean,clean,2,1089-134686-0005,0.0,0.0,0.0,22,"[20,40)",0.0,THE MUSIC CAME NEARER AND HE RECALLED THE WORDS THE WORDS OF SHELLEY'S FRAGMENT UPON THE MOON WANDERING COMPANIONLESS PALE FOR WEARINESS,"The music came nearer and he recalled the words, the words of Shelley's fragment upon the moon wandering companionless pale for weariness."
clean,clean,3,1089-134686-0005,0.0454545454545454,0.0,-0.0454545454545454,22,"[20,40)",0.0,THE MUSIC CAME NEARER AND HE RECALLED THE WORDS THE WORDS OF SHELLEY'S FRAGMENT UPON THE MOON WANDERING COMPANIONLESS PALE FOR WEARINESS,"The music came nearer and he recalled the words, the words of Shelley's fragment upon the moon wandering companionless pale for weariness."
clean,clean,1,1089-134686-0006,0.0833333333333333,0.2083333333333333,0.12499999999999999,24,"[20,40)",0.08333333333333333,THE DULL LIGHT FELL MORE FAINTLY UPON THE PAGE WHEREON ANOTHER EQUATION BEGAN TO UNFOLD ITSELF SLOWLY AND TO SPREAD ABROAD ITS WIDENING TAIL,"The dull light fell more faintly upon the page, where on another equation began to unfold itself slowly, and to spread abroad its widening tail."
clean,clean,2,1089-134686-0006,0.0833333333333333,0.0833333333333333,0.0,24,"[20,40)",0.08333333333333333,THE DULL LIGHT FELL MORE FAINTLY UPON THE PAGE WHEREON ANOTHER EQUATION BEGAN TO UNFOLD ITSELF SLOWLY AND TO SPREAD ABROAD ITS WIDENING TAIL,"The dull light fell more faintly upon the page, where on another equation began to unfold itself slowly, and to spread abroad its widening tail."
clean,clean,3,1089-134686-0006,0.0833333333333333,0.0833333333333333,0.0,24,"[20,40)",0.08333333333333333,THE DULL LIGHT FELL MORE FAINTLY UPON THE PAGE WHEREON ANOTHER EQUATION BEGAN TO UNFOLD ITSELF SLOWLY AND TO SPREAD ABROAD ITS WIDENING TAIL,"The dull light fell more faintly upon the page, where on another equation began to unfold itself slowly, and to spread abroad its widening tail."
clean,clean,1,1089-134686-0007,0.375,0.875,0.5,8,"[0,10)",0.125,A COLD LUCID INDIFFERENCE REIGNED IN HIS SOUL,"A cold, lucid indifference rained in his soul."
clean,clean,2,1089-134686-0007,0.125,0.25,0.125,8,"[0,10)",0.125,A COLD LUCID INDIFFERENCE REIGNED IN HIS SOUL,"A cold, lucid indifference rained in his soul."
clean,clean,3,1089-134686-0007,0.125,0.125,0.0,8,"[0,10)",0.125,A COLD LUCID INDIFFERENCE REIGNED IN HIS SOUL,"A cold, lucid indifference rained in his soul."
clean,clean,1,1089-134686-0008,0.1333333333333333,0.2,0.06666666666666671,15,"[10,20)",0.06666666666666667,THE CHAOS IN WHICH HIS ARDOUR EXTINGUISHED ITSELF WAS A COLD INDIFFERENT KNOWLEDGE OF HIMSELF,"The chaos in which his order extinguished itself was a cold, indifferent knowledge of himself."
clean,clean,2,1089-134686-0008,0.2,0.0,-0.2,15,"[10,20)",0.06666666666666667,THE CHAOS IN WHICH HIS ARDOUR EXTINGUISHED ITSELF WAS A COLD INDIFFERENT KNOWLEDGE OF HIMSELF,"The chaos in which his order extinguished itself was a cold, indifferent knowledge of himself."
clean,clean,3,1089-134686-0008,0.1333333333333333,0.0666666666666666,-0.06666666666666671,15,"[10,20)",0.06666666666666667,THE CHAOS IN WHICH HIS ARDOUR EXTINGUISHED ITSELF WAS A COLD INDIFFERENT KNOWLEDGE OF HIMSELF,"The chaos in which his order extinguished itself was a cold, indifferent knowledge of himself."
clean,clean,1,1089-134686-0009,0.037037037037037,0.1851851851851851,0.14814814814814808,27,"[20,40)",0.0,AT MOST BY AN ALMS GIVEN TO A BEGGAR WHOSE BLESSING HE FLED FROM HE MIGHT HOPE WEARILY TO WIN FOR HIMSELF SOME MEASURE OF ACTUAL GRACE,"At most, by an alms given to a beggar whose blessing he fled from, he might hope wearily to win for himself some measure of actual grace."
clean,clean,2,1089-134686-0009,0.0,0.037037037037037,0.037037037037037,27,"[20,40)",0.0,AT MOST BY AN ALMS GIVEN TO A BEGGAR WHOSE BLESSING HE FLED FROM HE MIGHT HOPE WEARILY TO WIN FOR HIMSELF SOME MEASURE OF ACTUAL GRACE,"At most, by an alms given to a beggar whose blessing he fled from, he might hope wearily to win for himself some measure of actual grace."
clean,clean,3,1089-134686-0009,0.0,0.0,0.0,27,"[20,40)",0.0,AT MOST BY AN ALMS GIVEN TO A BEGGAR WHOSE BLESSING HE FLED FROM HE MIGHT HOPE WEARILY TO WIN FOR HIMSELF SOME MEASURE OF ACTUAL GRACE,"At most, by an alms given to a beggar whose blessing he fled from, he might hope wearily to win for himself some measure of actual grace."
clean,clean,1,1089-134686-0010,0.2142857142857142,0.2857142857142857,0.07142857142857151,14,"[10,20)",0.0,WELL NOW ENNIS I DECLARE YOU HAVE A HEAD AND SO HAS MY STICK,"Well now Ennis, I declare you have a head and so has my stick."
clean,clean,2,1089-134686-0010,0.0,0.1428571428571428,0.1428571428571428,14,"[10,20)",0.0,WELL NOW ENNIS I DECLARE YOU HAVE A HEAD AND SO HAS MY STICK,"Well now Ennis, I declare you have a head and so has my stick."
clean,clean,3,1089-134686-0010,0.0,0.0,0.0,14,"[10,20)",0.0,WELL NOW ENNIS I DECLARE YOU HAVE A HEAD AND SO HAS MY STICK,"Well now Ennis, I declare you have a head and so has my stick."
clean,clean,1,1089-134686-0011,0.1538461538461538,0.1025641025641025,-0.051282051282051294,39,"[20,40)",0.02564102564102564,ON SATURDAY MORNINGS WHEN THE SODALITY MET IN THE CHAPEL TO RECITE THE LITTLE OFFICE HIS PLACE WAS A CUSHIONED KNEELING DESK AT THE RIGHT OF THE ALTAR FROM WHICH HE LED HIS WING OF BOYS THROUGH THE RESPONSES,"On Saturday mornings, when the sollity met in the chapel to recite the little office, his place was a cushioned kneeling desk at the right of the altar from which he led his wing of boys through the responses."
clean,clean,2,1089-134686-0011,0.1025641025641025,0.1538461538461538,0.051282051282051294,39,"[20,40)",0.02564102564102564,ON SATURDAY MORNINGS WHEN THE SODALITY MET IN THE CHAPEL TO RECITE THE LITTLE OFFICE HIS PLACE WAS A CUSHIONED KNEELING DESK AT THE RIGHT OF THE ALTAR FROM WHICH HE LED HIS WING OF BOYS THROUGH THE RESPONSES,"On Saturday mornings, when the sollity met in the chapel to recite the little office, his place was a cushioned kneeling desk at the right of the altar from which he led his wing of boys through the responses."
clean,clean,3,1089-134686-0011,0.0512820512820512,0.0512820512820512,0.0,39,"[20,40)",0.02564102564102564,ON SATURDAY MORNINGS WHEN THE SODALITY MET IN THE CHAPEL TO RECITE THE LITTLE OFFICE HIS PLACE WAS A CUSHIONED KNEELING DESK AT THE RIGHT OF THE ALTAR FROM WHICH HE LED HIS WING OF BOYS THROUGH THE RESPONSES,"On Saturday mornings, when the sollity met in the chapel to recite the little office, his place was a cushioned kneeling desk at the right of the altar from which he led his wing of boys through the responses."
clean,clean,1,1089-134686-0012,0.2857142857142857,0.2857142857142857,0.0,28,"[20,40)",0.0,HER EYES SEEMED TO REGARD HIM WITH MILD PITY HER HOLINESS A STRANGE LIGHT GLOWING FAINTLY UPON HER FRAIL FLESH DID NOT HUMILIATE THE SINNER WHO APPROACHED HER,"Her eyes seemed to regard him with mild pity. Her holiness, a strange light glowing faintly upon her frail flesh, did not humiliate the sinner who approached her."
clean,clean,2,1089-134686-0012,0.0357142857142857,0.0714285714285714,0.0357142857142857,28,"[20,40)",0.0,HER EYES SEEMED TO REGARD HIM WITH MILD PITY HER HOLINESS A STRANGE LIGHT GLOWING FAINTLY UPON HER FRAIL FLESH DID NOT HUMILIATE THE SINNER WHO APPROACHED HER,"Her eyes seemed to regard him with mild pity. Her holiness, a strange light glowing faintly upon her frail flesh, did not humiliate the sinner who approached her."
clean,clean,3,1089-134686-0012,0.0,0.0,0.0,28,"[20,40)",0.0,HER EYES SEEMED TO REGARD HIM WITH MILD PITY HER HOLINESS A STRANGE LIGHT GLOWING FAINTLY UPON HER FRAIL FLESH DID NOT HUMILIATE THE SINNER WHO APPROACHED HER,"Her eyes seemed to regard him with mild pity. Her holiness, a strange light glowing faintly upon her frail flesh, did not humiliate the sinner who approached her."
clean,clean,1,1089-134686-0013,0.2,0.04,-0.16,25,"[20,40)",0.04,IF EVER HE WAS IMPELLED TO CAST SIN FROM HIM AND TO REPENT THE IMPULSE THAT MOVED HIM WAS THE WISH TO BE HER KNIGHT,"If ever he was impelled to cast sin from him and to repent, the impulse that moved him was the wish to be her night."
clean,clean,2,1089-134686-0013,0.04,0.04,0.0,25,"[20,40)",0.04,IF EVER HE WAS IMPELLED TO CAST SIN FROM HIM AND TO REPENT THE IMPULSE THAT MOVED HIM WAS THE WISH TO BE HER KNIGHT,"If ever he was impelled to cast sin from him and to repent, the impulse that moved him was the wish to be her night."
clean,clean,3,1089-134686-0013,0.04,0.04,0.0,25,"[20,40)",0.04,IF EVER HE WAS IMPELLED TO CAST SIN FROM HIM AND TO REPENT THE IMPULSE THAT MOVED HIM WAS THE WISH TO BE HER KNIGHT,"If ever he was impelled to cast sin from him and to repent, the impulse that moved him was the wish to be her night."
