run_id,candidate_id,encoder_type,architecture_json,encoder_strides,decoder_strides,decoder_condition,n_filters,compress,lstm,activation,layer_ops_list,layer_se_list,valid_interface,status,semantic_proxy_loss,proxy_recon_l1,proxy_mel_loss,teacher_latent_smooth_l1,teacher_latent_cosine_distance,teacher_temporal_delta_loss,rvq_code_agreement,rvq_code_flip_rate,rvq_quantized_feature_l1,distill_enabled,distill_steps,train_mean_latent_smooth_l1,train_mean_cosine_distance,train_mean_temporal_delta_loss,train_mean_total,train_last_latent_smooth_l1,train_last_cosine_distance,train_last_temporal_delta_loss,train_last_total,encoder_params,encoder_macs,encoder_macs_g,thop_params,encoder_rtf_mean,encoder_rtf_std,evaluated_batches,codes_shape,output_shape,interface_shape_1s,error,stage,stage_rank,stage_score,stage_semantic_penalty,stage_teacher_penalty,stage_rvq_penalty,stage_recon_penalty,stage_mel_penalty,stage_quality_penalty,stage_resource_score,selected_for_next_stage,stage_selection_reason
exp1_nas_distill_run1_seed42,hand_encoder,hand-designed,configs/teacher_model_reference.json,"[8, 5, 4, 2]","[8, 5, 4, 2]",frozen_teacher_decoder,64,2,2,ELU,base_seanet_resnet_block,[],True,completed,0.692625992000103,0.024395737098529935,1.0834177881479263,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,67705856,5869363200,5.8693632,67705856,0.0099997400000575,0.00027607351026243864,8,"[3, 1, 50]","[1, 1, 16000]","[1, 1024, 50]",,stage2_proxy,,,,,,,,,,False,
exp1_nas_distill_run1_seed42,nas_seed42_000047,nas-candidate,artifacts/candidates/nas_seed42_000047.json,"[5, 4, 4, 4]","[8, 5, 4, 2]",frozen_teacher_decoder,24,2,1,ELU,"[""skip"", ""dil_k5"", ""std_k3"", ""sep_k7""]","[false, false, false, false]",True,completed,0.6912150606513023,0.0337589627597481,2.939761698246002,3.1572445333004,0.5446985550224781,2.224087804555893,0.010833333362825215,0.9891666666371748,2.9567897617816925,True,100,3.3144326281547545,0.6275344401597976,2.2488666915893556,5.066400399208069,3.3808207511901855,0.5692920088768005,2.5690135955810547,5.234619617462158,8738936,588480000,0.58848,8738264,0.006031799998891074,5.199157638001073e-05,8,"[3, 1, 50]","[1, 1, 16000]","[1, 1024, 50]",,stage2_proxy,113,64.08122025360532,0.0,48.83737089384092,15.101240871301025,0.22952735755122522,0.9028976803174228,64.61806678786313,-0.5368465342578114,False,not in top-k
exp1_nas_distill_run1_seed42,nas_seed42_000057,nas-candidate,artifacts/candidates/nas_seed42_000057.json,"[10, 4, 4, 2]","[8, 5, 4, 2]",frozen_teacher_decoder,24,4,1,ELU,"[""dil_k9"", ""dil_k5"", ""dil_k9"", ""sep_k5""]","[false, false, true, false]",True,completed,0.6919990256428719,0.03452096856199205,3.7566519379615784,3.235327810049057,0.567250419408083,2.248205319046974,0.0025000000605359674,0.997499999939464,3.078372538089752,True,100,3.3284398317337036,0.635575031042099,2.2536447477340698,5.090837254524231,3.498713254928589,0.6135505437850952,2.601572275161743,5.413049697875977,8516888,615994848,0.615994848,8516168,0.006824339999002405,0.00015574327186159258,8,"[3, 1, 50]","[1, 1, 16000]","[1, 1024, 50]",,stage2_proxy,254,64.32063156205922,0.0,48.88335623825803,15.128055998318999,0.25184833605331314,1.14809727596164,64.851379603786,-0.5307480417267818,False,not in top-k
exp1_nas_distill_run1_seed42,nas_seed42_000075,nas-candidate,artifacts/candidates/nas_seed42_000075.json,"[8, 5, 4, 2]","[8, 5, 4, 2]",frozen_teacher_decoder,24,4,1,Snake,"[""std_k3"", ""sep_k7"", ""skip"", ""dil_k3""]","[true, true, false, true]",True,completed,0.6909210532903671,0.034260998014360666,3.0952750146389008,3.1817415356636047,0.5566589124500751,2.2338814437389374,0.007500000181607902,0.9924999998183921,2.9907188713550568,True,100,3.3037733888626097,0.6246460860967636,2.250038586854935,5.053438777923584,3.2753069400787354,0.5276480913162231,2.5712199211120605,5.088564872741699,8503496,525797208,0.525797208,8501576,0.007073099998524413,2.8619924124878134e-05,8,"[3, 1, 50]","[1, 1, 16000]","[1, 1024, 50]",,stage2_proxy,126,64.13481459163697,0.0,48.85482280226122,15.10961235977055,0.2442890353083918,0.9544459171778273,64.68367613352349,-0.548861541886519,False,not in top-k
exp1_nas_distill_run1_seed42,nas_seed42_000078,nas-candidate,artifacts/candidates/nas_seed42_000078.json,"[8, 5, 4, 2]","[8, 5, 4, 2]",frozen_teacher_decoder,24,4,1,Snake,"[""sep_k9"", ""std_k5"", ""pw_bottleneck_k3"", ""skip""]","[false, true, false, false]",True,completed,0.6897264868021011,0.03360858024097979,3.245179980993271,3.183833748102188,0.5588673204183578,2.243059828877449,0.008333333535119891,0.9916666664648801,2.951773554086685,True,100,3.3130044746398926,0.6292202734947204,2.2521835660934446,5.068316540718079,3.4107229709625244,0.5826366543769836,2.59209942817688,5.289409160614014,8402096,519648336,0.519648336,8400464,0.006939219999185298,9.996040068313378e-05,8,"[3, 1, 50]","[1, 1, 16000]","[1, 1024, 50]",,stage2_proxy,131,64.1449535824237,0.0,48.85876597820213,15.10239189847186,0.22506281092068586,1.0017399699848515,64.69723954521731,-0.5522859627936234,False,not in top-k
exp1_nas_distill_run1_seed42,nas_seed42_000087,nas-candidate,artifacts/candidates/nas_seed42_000087.json,"[4, 5, 4, 4]","[8, 5, 4, 2]",frozen_teacher_decoder,24,4,1,ELU,"[""pw_bottleneck_k3"", ""skip"", ""pw_bottleneck_k3"", ""sep_k5""]","[true, false, false, false]",True,completed,0.6896434724330902,0.034507500007748604,3.8614752292633057,3.271311789751053,0.6003673747181892,2.256942540407181,0.0025000000605359674,0.997499999939464,3.076275795698166,True,100,3.3342506814002992,0.6384893161058426,2.2549653065204622,5.100222644805908,3.4937169551849365,0.6237010359764099,2.6090738773345947,5.42195463180542,8713100,548582472,0.548582472,8712476,0.007194819999858737,8.422081497412425e-05,8,"[3, 1, 50]","[1, 1, 16000]","[1, 1024, 50]",,stage2_proxy,463,64.35875133710876,0.0,48.915127074423516,15.127715322075778,0.25145810417671416,1.175618451480439,64.89908832989359,-0.5403369927848305,False,not in top-k
exp1_nas_distill_run1_seed42,nas_seed42_000098,nas-candidate,artifacts/candidates/nas_seed42_000098.json,"[10, 4, 4, 2]","[8, 5, 4, 2]",frozen_teacher_decoder,24,4,1,ELU,"[""sep_k9"", ""sep_k9"", ""skip"", ""std_k5""]","[true, true, false, true]",True,completed,0.6895257234573364,0.034507500007748604,3.8614752292633057,3.266726851463318,0.598059706389904,2.2569436579942703,0.0025000000605359674,0.997499999939464,3.076275795698166,True,100,3.3420627331733703,0.6404305654764175,2.254941704273224,5.109964156150818,3.514254093170166,0.6353612542152405,2.609158515930176,5.45419454574585,8570432,513586008,0.513586008,8569904,0.007228700000268873,0.00014715696605258787,8,"[3, 1, 50]","[1, 1, 16000]","[1, 1024, 50]",,stage2_proxy,398,64.34616408178516,0.0,48.91229043666126,15.127715322075778,0.25145810417671416,1.175618451480439,64.89625169213133,-0.5500876103461665,False,not in top-k
exp1_nas_distill_run1_seed42,nas_seed42_000131,nas-candidate,artifacts/candidates/nas_seed42_000131.json,"[10, 4, 4, 2]","[8, 5, 4, 2]",frozen_teacher_decoder,24,2,1,ELU,"[""skip"", ""dil_k3"", ""pw_bottleneck_k3"", ""std_k7""]","[false, false, true, false]",True,completed,0.6897477507591248,0.034507500007748604,3.8614752292633057,3.247661143541336,0.588706512004137,2.2531725615262985,0.0025000000605359674,0.997499999939464,3.076275795698166,True,100,3.3303684043884276,0.6364152383804321,2.2543573081493378,5.093962264060974,3.4955556392669678,0.6253918409347534,2.6034767627716064,5.422685623168945,8650328,517057248,0.517057248,8649656,0.006904439999198075,0.00016728643260711284,8,"[3, 1, 50]","[1, 1, 16000]","[1, 1024, 50]",,stage2_proxy,304,64.33417221157724,0.0,48.89975357957177,15.127715322075778,0.25145810417671416,1.175618451480439,64.88371483504184,-0.5495426234646071,False,not in top-k
exp1_nas_distill_run1_seed42,nas_seed42_000144,nas-candidate,artifacts/candidates/nas_seed42_000144.json,"[10, 4, 4, 2]","[8, 5, 4, 2]",frozen_teacher_decoder,24,4,1,Snake,"[""sep_k5"", ""std_k7"", ""std_k7"", ""sep_k7""]","[false, true, true, false]",True,completed,0.6910029351711273,0.034507500007748604,3.8614752292633057,3.2246669232845306,0.5752407871186733,2.248822331428528,0.0025000000605359674,0.997499999939464,3.076275795698166,True,100,3.3207536554336547,0.6333943903446198,2.253276320695877,5.080786190032959,3.473037004470825,0.612057089805603,2.598119020462036,5.384153366088867,8500784,544302384,0.544302384,8498576,0.007729520001157652,6.995922890355376e-05,8,"[3, 1, 50]","[1, 1, 16000]","[1, 1024, 50]",,stage2_proxy,266,64.32540251341783,0.0,48.88352791881353,15.127715322075778,0.25145810417671416,1.175618451480439,64.86748917428359,-0.54208666086576,False,not in top-k
exp1_nas_distill_run1_seed42,nas_seed42_000161,nas-candidate,artifacts/candidates/nas_seed42_000161.json,"[10, 4, 4, 2]","[8, 5, 4, 2]",frozen_teacher_decoder,24,4,1,Snake,"[""sep_k7"", ""dil_k5"", ""skip"", ""sep_k5""]","[true, false, false, true]",True,completed,0.6911497414112091,0.033786585088819265,3.5093695521354675,3.219515562057495,0.5770315155386925,2.2541092932224274,0.006666666944511235,0.9933333330554888,2.9827835857868195,True,100,3.3221955490112305,0.6343916571140289,2.2540647184848783,5.083619599342346,3.5089898109436035,0.6356186866760254,2.6043503284454346,5.446783542633057,8434064,512145672,0.512145672,8432144,0.006949219998205081,9.511913587092156e-05,8,"[3, 1, 50]","[1, 1, 16000]","[1, 1024, 50]",,stage2_proxy,168,64.22530773874307,0.0,48.88367888268989,15.10895061136535,0.23034524508018261,1.0800055638392234,64.77883997940688,-0.5535322406638091,False,not in top-k
