method,model,L,codec_setting,sample_id,wer_vs_gt,cer_vs_gt,wer_vs_original_whisper,cer_vs_original_whisper,hypothesis_text,decoded_path,transcript_path
base,base,1,clean,8838-298545-0037,1.5,1.128440366972477,1.5,1.128440366972477,"Remember the man who knocked out this woman? He ate a bottle of famous tread-borthen. I'm sure saying you've been wildly proud of him and went round, sitting on the bed. Why, you're dead and worse, the 10 stone six chair-bem. Okay. All right. We'll see you in the next few slides. Thanks for joining us. Bye. Bye. Bye. Bye. Bye. Bye. Bye. Bye. Bye. Bye. Bye. Bye. Bye. Bye. Bye. Bye. Bye. Bye. Bye. Bye. Bye. Bye.",output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\base\clean\L1\8838-298545-0037.wav,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\artifacts\asr_transcripts\base\clean\8838-298545-0037.txt
lca,lca,1,clean,8838-298545-0037,0.7727272727272727,0.5779816513761468,0.7727272727272727,0.5779816513761468,"Do you know where the man who'm not out this morning? In hisinge Barton, the famous Trytiarden. Alright, I'm sure, I should say he really Martin people and I'll multiply this to ten doublet 2003 mal but no but",output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\lca\clean\L1\8838-298545-0037.wav,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\artifacts\asr_transcripts\lca\clean\8838-298545-0037.txt
base,base,2,clean,8838-298545-0037,0.45454545454545453,0.25229357798165136,0.45454545454545453,0.25229357798165136,"You remember the man whom knocked out this morning? He was bought him, the famous Tathpartan. I am sure, sir, you made a wilder part of it out in him and went round, sir, the publican. Why, it took Norris, the 10th Stone Six champion? . . . . . . . . .",output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\base\clean\L2\8838-298545-0037.wav,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\artifacts\asr_transcripts\base\clean\8838-298545-0037.txt
lca,lca,2,clean,8838-298545-0037,0.4090909090909091,0.2018348623853211,0.4090909090909091,0.2018348623853211,"You remember the man who you knocked out this morning? Here's Barton, the famous Taz Barton. I'm sure, sir, you may well be proud to have out of him and learn how and sit with the public. Why, you didn't know us, the 10th Stone Six champion? . . . . . . . . .",output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\lca\clean\L2\8838-298545-0037.wav,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\artifacts\asr_transcripts\lca\clean\8838-298545-0037.txt
base,base,3,clean,8838-298545-0037,0.06818181818181818,0.04128440366972477,0.06818181818181818,0.04128440366972477,"You remember the man whom you knocked out this morning? He was Barton, the famous twat Barton. I'm sure sir you may well be proud to have outed him in one round,"" said the publican. Why, it took Morris, the 10th Stone Six champion... . . . . . . . . .",output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\base\clean\L3\8838-298545-0037.wav,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\artifacts\asr_transcripts\base\clean\8838-298545-0037.txt
lca,lca,3,clean,8838-298545-0037,0.3181818181818182,0.16055045871559634,0.3181818181818182,0.16055045871559634,"You remember the man who you knocked out this morning? He is Barton, the famous Tath Barton. I am sure so you may well be proud to have out of him in one round,"" said the public him. Why, you didn't notice the 10th Star Six champion? . . . . . . . . .",output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\lca\clean\L3\8838-298545-0037.wav,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\artifacts\asr_transcripts\lca\clean\8838-298545-0037.txt
base,base,1,clean,5390-30102-0015,0.08333333333333333,0.06091370558375635,0.08333333333333333,0.06091370558375635,"What had rendered Iris so unhappy and despairing? Thirdly, the Clapton's only friend had been a crazy man named Will Townsend. Was he crazy before the Captain's death, or had he become crazed at that time?",output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\base\clean\L1\5390-30102-0015.wav,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\artifacts\asr_transcripts\base\clean\5390-30102-0015.txt
lca,lca,1,clean,5390-30102-0015,0.25,0.14213197969543148,0.25,0.14213197969543148,"What a wonder to us so unhappy and despairing. Thirdly, the captain's only friend had been a crazy man and world tungsten, missing crazy before the captain's death, or had he become crazed at that time.",output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\lca\clean\L1\5390-30102-0015.wav,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\artifacts\asr_transcripts\lca\clean\5390-30102-0015.txt
base,base,2,clean,5390-30102-0015,0.027777777777777776,0.015228426395939087,0.027777777777777776,0.015228426395939087,"What had rendered her so unhappy and despairing. Thirdly, the captain's only friend had been a crazy man named Will Tonson. Was he crazy before the captain's death, or had he become crazed at that time?",output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\base\clean\L2\5390-30102-0015.wav,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\artifacts\asr_transcripts\base\clean\5390-30102-0015.txt
lca,lca,2,clean,5390-30102-0015,0.0,0.0,0.0,0.0,"What had rendered her so unhappy and despairing? Thirdly, the captain's only friend had been a crazy man named Will Thompson. Was he crazy before the captain's death, or had he become crazed at that time?",output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\lca\clean\L2\5390-30102-0015.wav,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\artifacts\asr_transcripts\lca\clean\5390-30102-0015.txt
