method,model,L,codec_setting,sample_id,wer_vs_gt,cer_vs_gt,wer_vs_original_whisper,cer_vs_original_whisper,hypothesis_text,decoded_path,transcript_path
scit_base,scit_base,1,L=1,8838-298545-0037,0.5454545454545454,0.3853211009174312,0.5454545454545454,0.3853211009174312,"Remember the man who knocked out this woman? He ate a bottle of famous tread-borthen. I'm sure, sir, you've been wildly proud to have outed him in one round, sitting on the other hand. Why, you're dead and worse, the 10 stone six chair-bem.",output\experiments\exp4_baseline_comparison_20260531_seed42\samples\scit_base\L1\8838-298545-0037.wav,output\experiments\exp4_baseline_comparison_20260531_seed42\artifacts\asr_transcripts\scit_base\L=1\8838-298545-0037.txt
scit_base,scit_base,2,L=2,8838-298545-0037,0.45454545454545453,0.25229357798165136,0.45454545454545453,0.25229357798165136,"You remember the man whom knocked out this morning? He was bought him, the famous Tathpartan. I am sure, sir, you made a wilder part of it out in him and went round, sir, the publican. Why, it took Norris, the 10th Stone Six champion? . . . . . . . . .",output\experiments\exp4_baseline_comparison_20260531_seed42\samples\scit_base\L2\8838-298545-0037.wav,output\experiments\exp4_baseline_comparison_20260531_seed42\artifacts\asr_transcripts\scit_base\L=2\8838-298545-0037.txt
scit_base,scit_base,3,L=3,8838-298545-0037,0.18181818181818182,0.10091743119266056,0.18181818181818182,0.10091743119266056,"You remember the man whom you knocked out this morning? He was Barton, the famous twat Barton. I'm sure sir you may well be part of it out of him in one round,"" said the publican. Why, it took Morris, the 10th Stone Six champion... . . . . . . . . .",output\experiments\exp4_baseline_comparison_20260531_seed42\samples\scit_base\L3\8838-298545-0037.wav,output\experiments\exp4_baseline_comparison_20260531_seed42\artifacts\asr_transcripts\scit_base\L=3\8838-298545-0037.txt
scit_lca,scit_lca,1,L=1,8838-298545-0037,0.5454545454545454,0.3348623853211009,0.5454545454545454,0.3348623853211009,"Remember the name of the man who knocked out this wing? He ate the fortune, the famous chess-partum. I'm sure as soon you may well be proud of it out of him in one round, said the publican. Why, they checked Morris, the twin-stulled six-champion...",output\experiments\exp4_baseline_comparison_20260531_seed42\samples\scit_lca\L1\8838-298545-0037.wav,output\experiments\exp4_baseline_comparison_20260531_seed42\artifacts\asr_transcripts\scit_lca\L=1\8838-298545-0037.txt
scit_lca,scit_lca,2,L=2,8838-298545-0037,0.2727272727272727,0.16972477064220184,0.2727272727272727,0.16972477064220184,"You remember the man who knocked out this morning? He is bawling, the famous Tazparson. I'm sure as soon you may well be proud of him and one round,"" said the publican. Why, it took Morris, the 10 stone six champion— . . . . . . . . .",output\experiments\exp4_baseline_comparison_20260531_seed42\samples\scit_lca\L2\8838-298545-0037.wav,output\experiments\exp4_baseline_comparison_20260531_seed42\artifacts\asr_transcripts\scit_lca\L=2\8838-298545-0037.txt
scit_lca,scit_lca,3,L=3,8838-298545-0037,0.29545454545454547,0.1651376146788991,0.29545454545454547,0.1651376146788991,"You remember the man whom you knocked out this morning? Here's Boulton, the famous Tarth Parton. I'm sure as soon you may well be proud of him and one round,"" said the publican. Why, he took Morris, the 10th Stone Six champion? . . . . . . . . .",output\experiments\exp4_baseline_comparison_20260531_seed42\samples\scit_lca\L3\8838-298545-0037.wav,output\experiments\exp4_baseline_comparison_20260531_seed42\artifacts\asr_transcripts\scit_lca\L=3\8838-298545-0037.txt
pcm,pcm_16bit_16khz,,16bit_16khz_passthrough,8838-298545-0037,0.0,0.0,0.0,0.0,"You remember the man whom you knocked out this morning? He is Barton, the famous Ted Barton. I'm sure, sir, you may well be proud to have outed him in one round,"" said the publican. Why, it took Morris, the ten stone six champion—",output\experiments\exp4_baseline_comparison_20260531_seed42\samples\pcm\8838-298545-0037.wav,output\experiments\exp4_baseline_comparison_20260531_seed42\artifacts\asr_transcripts\pcm\16bit_16khz_passthrough\8838-298545-0037.txt
encodec,encodec_24khz,2,bw1.5kbps_n_cb2,8838-298545-0037,0.25,0.13761467889908258,0.25,0.13761467889908258,"You remember the man whom you knocked out this morning? He is Baldwin, the famous Taz Barton. I'm sure sir you may well be proud to have outed in in one round, sir Republican. Why, you didn't want us, the 10 stone six champion? . . . . . . . . .",output\experiments\exp4_baseline_comparison_20260531_seed42\samples\encodec\bw1.5kbps\8838-298545-0037.wav,output\experiments\exp4_baseline_comparison_20260531_seed42\artifacts\asr_transcripts\encodec\bw1.5kbps_n_cb2\8838-298545-0037.txt
encodec,encodec_24khz,4,bw3.0kbps_n_cb4,8838-298545-0037,0.045454545454545456,0.013761467889908258,0.045454545454545456,0.013761467889908258,"You remember the man whom you knocked out this morning? He is Barton, the famous Ted Barton. I'm sure, sir, you may well be proud to have out of him in one round,"" said the publican. Why, it took Morris, the ten stone six champion? ... ... ... ... ... ...",output\experiments\exp4_baseline_comparison_20260531_seed42\samples\encodec\bw3.0kbps\8838-298545-0037.wav,output\experiments\exp4_baseline_comparison_20260531_seed42\artifacts\asr_transcripts\encodec\bw3.0kbps_n_cb4\8838-298545-0037.txt
encodec,encodec_24khz,8,bw6.0kbps_n_cb8,8838-298545-0037,0.045454545454545456,0.009174311926605505,0.045454545454545456,0.009174311926605505,"You remember the man whom you knocked out this morning? He is Barton, the famous Ted Barton. I am sure, sir, you may well be proud to have outed him in one round,"" said the publican. Why, it took Morris, the ten stone six champion— .",output\experiments\exp4_baseline_comparison_20260531_seed42\samples\encodec\bw6.0kbps\8838-298545-0037.wav,output\experiments\exp4_baseline_comparison_20260531_seed42\artifacts\asr_transcripts\encodec\bw6.0kbps_n_cb8\8838-298545-0037.txt
